,Chokwe 2014,,Chokwe FTA 2015,,Gurue 2014,,Gurue 2015,,,,Chokwe 2014,Chokwe FTA 2015,Gurue 2014,Gurue 2015,Totals
,reads,otus,reads,otus,reads,otus,reads,otus,,,reads,reads,reads,reads,Reads
Tissue ,282577,93,213461,222,555858,97,78699,122,,Tissue ,282577,213461,555858,78699,1130595
FTAcards,155102,120,30333,165,213241,58,27133,101,,FTAcards,155102,30333,213241,27133,425809
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Chokwe 2014,Chokwe FTA 2015,Gurue 2014,Gurue 2015,,,,,,,,,,,
,otus,otus,otus,otus,Totals,,,,,,,,,,
Tissue ,93,222,97,122,534,,,,,,,,,,
FTAcards,120,165,58,101,444,,,,,,,,,,